model,domain,image,spatial_variance,channel_entropy
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000207.jpg,0.0004196767113171518,6.5960693359375
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000084.jpg,0.0006180006894282997,6.809935569763184
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000255.jpg,0.0006518982700072229,6.8385539054870605
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000324.jpg,0.0005782785592600703,6.718427658081055
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000096.jpg,0.0007861358462832868,6.835123538970947
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000109.jpg,0.0007648849859833717,6.8360700607299805
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000992.jpg,0.0008288436220027506,6.8782243728637695
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000310.jpg,0.0005560815334320068,6.721714019775391
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000200.jpg,0.00042880221735686064,6.5965776443481445
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000229.jpg,0.0009050351800397038,6.933574676513672
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000950.jpg,0.000839116342831403,6.866206169128418
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000257.jpg,0.0008750767447054386,6.875479698181152
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000013.jpg,0.0006922549218870699,6.734108924865723
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000548.jpg,0.0009088925435207784,6.892809867858887
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000019.jpg,0.0007630248437635601,6.758641242980957
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000422.jpg,0.0008040848188102245,6.86441707611084
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000971.jpg,0.0008535698871128261,6.871526718139648
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000019.jpg,0.0004160641401540488,6.587060928344727
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000402.jpg,0.0005287558306008577,6.744290828704834
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000028.jpg,0.00043021899182349443,6.579896926879883
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000572.jpg,0.0008826199336908758,6.870655536651611
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000275.jpg,0.0005271275294944644,6.710291862487793
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000137.jpg,0.00036174876731820405,6.519784927368164
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\001020.jpg,0.0008204800542443991,6.880274295806885
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000312.jpg,0.0008592468220740557,6.873394012451172
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000810.jpg,0.0008681236649863422,6.835104465484619
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000177.jpg,0.0004412483249325305,6.594971656799316
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000027.jpg,0.0009768859017640352,6.799542427062988
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000006.jpg,0.0007800434832461178,6.729212760925293
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000405.jpg,0.0005976876709610224,6.769474983215332
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000665.jpg,0.0008793200249783695,6.854345798492432
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000428.jpg,0.001052929786965251,6.887033462524414
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000394.jpg,0.0008247549994848669,6.86491584777832
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000061.jpg,0.000740152143407613,6.81755256652832
Baseline,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000487.jpg,0.0010762691963464022,6.929413795471191
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000723.jpg,0.0008840259397402406,6.840866565704346
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000667.jpg,0.0008982743020169437,6.860128402709961
Baseline,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000369.jpg,0.0006715237977914512,6.839282035827637
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000464.jpg,0.000843472545966506,6.8725690841674805
Baseline,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000584.jpg,0.0008938478422351182,6.868266582489014
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0024989.jpg,0.001340248854830861,6.752156734466553
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-32-50/0005890.jpg,0.0004506314580794424,6.539011001586914
Baseline,IDD,data/IDD_Detection\JPEGImages\frontFar/BLR-2018-04-19_17-16-55_frontFar/0003240.jpg,0.00022901888587512076,6.229421615600586
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-02-50/0004171.jpg,0.0016327997436746955,6.76059627532959
Baseline,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-06-05_09-06-38_sideRight/001536_r.jpg,0.0003756888909265399,6.586306571960449
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-22_13-21-45_frontNear/000168_r.jpg,0.00027968353242613375,6.4396843910217285
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-17_15-12-45_frontNear/000414_r.jpg,0.0006100565660744905,6.467419147491455
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-02-50/0000037.jpg,0.001823499333113432,6.752373218536377
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-14_11-29-33_frontNear/000642_r.jpg,0.0008994345553219318,6.742724418640137
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-05-03_14-26-52_sideRight_right/0001473.jpg,0.0008951047784648836,6.633893013000488
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_18-06-55_frontNear/000786_r.jpg,0.0003432229277677834,6.361811637878418
