epsilon,sequence,survived,total,survival_pct
0.0,MOT17-02-FRCNN,547,549,99.63570127504553
0.0,MOT17-02-FRCNN-Whitebox,537,549,97.81420765027322
0.0,MOT17-02-FRCNN-Blackbox,541,549,98.54280510018215
0.0,MOT17-04-FRCNN,1048,1050,99.80952380952381
0.0,MOT17-04-FRCNN-Whitebox,1048,1050,99.80952380952381
0.0,MOT17-04-FRCNN-Blackbox,1048,1050,99.80952380952381
0.0,MOT17-09-FRCNN,233,264,88.25757575757575
0.0,MOT17-09-FRCNN-Whitebox,232,264,87.87878787878788
0.0,MOT17-09-FRCNN-Blackbox,233,264,88.25757575757575
0.0,MOT17-10-FRCNN,379,654,57.95107033639144
0.0,MOT17-10-FRCNN-Whitebox,279,654,42.6605504587156
0.0,MOT17-10-FRCNN-Blackbox,298,654,45.56574923547401
0.0,MOT17-13-FRCNN,0,396,0.0
0.0,MOT17-13-FRCNN-Whitebox,0,396,0.0
0.0,MOT17-13-FRCNN-Blackbox,0,396,0.0
0.01,MOT17-02-FRCNN,547,549,99.63570127504553
0.01,MOT17-02-FRCNN-Whitebox,539,549,98.1785063752277
0.01,MOT17-02-FRCNN-Blackbox,541,549,98.54280510018215
0.01,MOT17-04-FRCNN,1048,1050,99.80952380952381
0.01,MOT17-04-FRCNN-Whitebox,1048,1050,99.80952380952381
0.01,MOT17-04-FRCNN-Blackbox,1048,1050,99.80952380952381
0.01,MOT17-09-FRCNN,234,264,88.63636363636364
0.01,MOT17-09-FRCNN-Whitebox,233,264,88.25757575757575
0.01,MOT17-09-FRCNN-Blackbox,233,264,88.25757575757575
0.01,MOT17-10-FRCNN,437,654,66.81957186544342
0.01,MOT17-10-FRCNN-Whitebox,421,654,64.37308868501529
0.01,MOT17-10-FRCNN-Blackbox,415,654,63.455657492354746
0.01,MOT17-13-FRCNN,0,396,0.0
0.01,MOT17-13-FRCNN-Whitebox,0,396,0.0
0.01,MOT17-13-FRCNN-Blackbox,0,396,0.0
0.02,MOT17-02-FRCNN,547,549,99.63570127504553
0.02,MOT17-02-FRCNN-Whitebox,540,549,98.36065573770492
0.02,MOT17-02-FRCNN-Blackbox,534,549,97.26775956284153
0.02,MOT17-04-FRCNN,1048,1050,99.80952380952381
0.02,MOT17-04-FRCNN-Whitebox,1048,1050,99.80952380952381
0.02,MOT17-04-FRCNN-Blackbox,1048,1050,99.80952380952381
0.02,MOT17-09-FRCNN,234,264,88.63636363636364
0.02,MOT17-09-FRCNN-Whitebox,244,264,92.42424242424242
0.02,MOT17-09-FRCNN-Blackbox,244,264,92.42424242424242
0.02,MOT17-10-FRCNN,458,654,70.03058103975535
0.02,MOT17-10-FRCNN-Whitebox,439,654,67.12538226299695
0.02,MOT17-10-FRCNN-Blackbox,438,654,66.97247706422019
